id,name
94,"LAPTOP HP PAVILION 15 CS2001TU 6KX30PA (Core i3 8145U, Ram 4GB, HDD 1TB, Màn hình 15.6 FHD, Win 10)"
95,"LAPTOP HP PAVILION 15 CS2000TU 6KX21PA (Core i3 8145U, Ram 4GB, HDD 1TB, Màn hình 15.6 FHD, Win 10)"
96,"LAPTOP HP PAVILION 15 CS2058TX 6YZ12PA (Core i7 8565U, Ram 8GB, HDD 1TB, Màn hình 15.6 FHD, VGA 2GB, Win 10)"
97,"LAPTOP ASUS VIVOBOOK A512FA - EJ117T (Core i3 8145U, Ram 4GB, HDD 1TB, Màn hình 15.6 FHD, Win 10)"
98,"LAPTOP HP ENVY X360 13 AR0072AU 6ZF34PA (AMD Ryzen7 3700U, Ram 8G, SSD 256G, màn hình 13.3 FHD, Win 10)"
99,"LENOVO IP 530S 14IKB 81EU00P5VN (Core i7 8550U, Ram 8GB, SSD 256GB, màn hình 14 FHD, WIN 10)"
100,"LAPTOP LENOVO IP 330S 14IKB 81F401F9VN (Core i3 8130U, Ram 4GB, SSD 256GB, Màn hình 14 FHD, Win 10)"
101,"LAPTOP HP ENVY 13 AQ0027TU 6ZF43PA (Core i7 8565U, Ram 8GB, SSD 256GB, Màn hình 13.3 FHD, Win 10)"
102,"LAPTOP HP 240 G7 6MM00PA (Core i5 8265U, Ram 4GB, HDD 1TB, Màn hình 14, DOS)"
103,"LAPTOP HP 14 CK0135TU 6KD74PA (PENTIUM N4417U, Ram 4GB, HDD 500GB, Màn hình 14, WIN 10)"
104,"LAPTOP DELL INSPIRON 3576 N3576C (Core i3 8130U, Ram 4GB, HDD 1TB, Màn hình 15.6, DOS)"
105,"LAPTOP DELL VOSTRO 3578 NGMPF22 (Core i5 8250U, Ram 4GB, HDD 1TB, Màn hình 15.6, DOS)"
106,"LAPTOP ASUS VIVOBOOK A412FA - EK153T (Core i5 8265U, Ram 8GB, HDD 1TB, Màn hình 14 FHD, WIN 10)"
107,"LAPTOP ASUS VIVOBOOK A412FA EK224T (Core i5 8265U, Ram 8GB, SSD 512GB, Màn hình 14 FHD, WIN 10)"
108,"LAPTOP DELL INSPIRON 5584 N5I5384W (Core I5 8265U, Ram 4G, HDD 1TB, VGA 2G, Màn hình 15.6FHD, Win 10)"
109,"LAPTOP DELL INSPIRON 5482 C2CPX1 (Core i7 8565U, Ram 8GB, SSD 256GB, Màn hình 14 FHD, VGA 2GB, WIN 10)"
110,"LAPTOP DELL INSPIRON G7 7588 - 70183902 (Core i7 8750H, Ram 8GB, HDD 1T + 128GB SSD, Màn hình 15.6 FHD, VGA 4GB, DOS)"
111,"LAPTOP ASUS VIVOBOOK S15 S530FA BQ070T (Core i5 8265U, Ram 4GB, SSD 512GB, Màn hình 15.6 FHD, WIN 10)"
112,"LAPTOP HP 15 DA1022TU 5NK80PA (Core i5 8265U, Ram 4GB, HDD 1TB, Màn hình 15.6, WIN 10)"
113,"LAPTOP ASUS VIVOBOOK X407UA - BV551T (PENTIUM 4417U, Ram 4GB, HDD 1TB, Màn hình 14, WIN 10)"
114,"LAPTOP HP PROBOOK 455 G6 6XA63PA (RYZEN 7 2700U, ram 8GB, SSD 256GB, Màn hình 15.6 FHD, DOS)"
115,"LAPTOP HP PROBOOK 445 G6 6XQ03PA (RYZEN 5 2500U, Ram 8GB, SSD 256GB, Màn hình 14 FHD, DOS)"
116,"LAPTOP HP PROBOOK 455 G6 6XA87PA (RYZEN 5 2500U, Ram 8GB, HDD 1TB, MÀn hình 15.6 FHD, DOS)"
117,"LAPTOP HP PROBOOK 445 G6 6XP98PA (RYZEN 5 2500U, Ram 4GB, HDD 1TB, Màn hình 14 FHD, DOS)"
118,"LAPTOP ASUS TUF GAMING FX705DT AU017T (RYZEN 7 3750H, Ram 8GB, SSD 512G, VGA 1650 4G, Màn hình 17.3 FHD, Win 10)"
119,"LAPTOP ASUS TUF GAMING FX705DD AU059T (RYZEN 7 3750H, Ram 8GB, SSD 512GB, VGA 1050 3G, Màn hình 17.3 FHD, Win 10)"
120,"LAPTOP ASUS TUF GAMING FX505DT AL003T (RYZEN 7 3750H, Ram 8GB, SSD 512GB, VGA 1650 4G, Màn hình 15.6 FHD, Win 10)"
121,"LAPTOP DELL VOSTRO 3578 - NGMPF12 (Core i7 8550U, Ram 8GB, HDD 1TD, Màn hình 15.6 FHD, VGA 2GB, DOS)"
122,"LAPTOP MSI GF63 8RCS 274VN (Core i7 8750H, Ram 08GB, SSD 256GB, Màn hình 15.6 FHD, VGA 1050 4G/, Win 10)"
123,"LAPTOP MSI GF63 8RCS 273VN (Core i5 9300H. Ram 8G, SSD 256GB, Màn hình 15.6 FHD, VGA 1050 4G, Win 10)"
124,"LAPTOP DELL INSPIRON 3581 N5I3150W (Core i3 7020U, Ram 4G, HDD 1TB, VGA AMD 2G/15.6 FHD, Win 10)"
125,"LAPTOP DELL INSPIRON 3576 - 70157552 (Core i5 8250U, Ram 4GB, HDD 1TB, Màn hình 15.6 FHD, VGA 2GB, Win 10)"
126,"LAPTOP DELL INSPIRON 3579 - G5I5423W (Core i5 8300H, Ram 8GB, HDD 1TB + 128GB SSD, Màn hình 15.6 FHD, VGA 4GB, Win 10)"
127,"LAPTOP ASUS VIVOOOK A412FA - EK155T (Core i3 8145U, Ram 4GB, HDD 1TB, Màn hình 14, win 10)"
128,"LAPTOP DELL INSPIRON 3480 N4I5107W SILVER (Core i5 8265U, Ram 4GB, HDD 1TB, Màn hình 14, WIN 10)"
129,"LAPTOP DELL INSPIRON 7370 7D61Y3 (Core i7 8550U, Ram 8GB, SSD 256GB, Màn hình 13.3 FHD, WIN 10)"
130,"LAPTOP DELL VOSTRO 3578 V3578B (CORE I5 8250U, Ram 4G, HDD 1TB, màn hình 15.6 FHD, VGA 2G, WIN 10)"
131,"LAPTOP ASUS VIVIBOOK A412FA - EK156T  (Core i3 8145U, Ram 4GB, HDD 1TB, Màn hình 14 FHD, WIN 10)"
132,"LAPTOP DELL VOSTRO 3568 - VTI3072NF (Core i3 7020U, Ram 4GB, HDD 1TB, Màn hình 15.6, DOS)"
133,"LAPTOP HP PRO 450 G6 5YM81PA (Core i5 8265U, Ram 4GB, SSD 256GB, Màn hình 15.6 FHD, DOS)"
134,"LAPTOP ASUS TUF GAMING FX505GM BN117T (Corei5 8300H, Ram 8GB, HDD 1TB, Màn hình 15.6 FHD, VGA 6GB 1060, Win 10)"
135,"LAPTOP ASUS VIVOBOOK E406MA - BV212T (CELERON N4000, Ram 4GB, HDD 64GB, Màn hình 14, WIN 10)"
136,"LAPTOP ASUS VIVOBOOK X505ZA - EJ505T (RYZEN 5 2500U, Ram 4GB, HDD 1TB, màn hình 15.6 FHD, WIN 10)"
137,"LAPTOP ASUS VIVOBOOK X505ZA - EJ493T (RYZEN 3 2200U, Ram 4GB, HDD 1TB, Màn hình 15.6 FHD, WIN10)"
